,province,confirmed_date,recovery_date,total_medical,sizeofarea
58,Sejong,6,37,676.0627450980393,741.4881720430108
59,Sejong,1,51,676.0627450980393,741.4881720430108
60,Sejong,5,47,676.0627450980393,741.4881720430108
61,Sejong,0,31,676.0627450980393,741.4881720430108
62,Sejong,4,18,676.0627450980393,741.4881720430108
63,Sejong,3,36,676.0627450980393,741.4881720430108
64,Gyeonggi-do,1,22,640.0046798861389,1302.0589909697683
65,Gyeonggi-do,1,19,640.0046798861389,1302.0589909697683
66,Gyeonggi-do,8,10,641.1431948665992,1304.3752453867294
67,Gyeonggi-do,4,11,641.1431948665992,1304.3752453867294
68,Gyeonggi-do,6,21,641.1431948665992,1304.3752453867294
69,Gyeonggi-do,3,15,641.1431948665992,1304.3752453867294
70,Gyeonggi-do,2,16,641.1431948665992,1304.3752453867294
71,Chungcheongnam-do,3,34,578.4005999454595,257.74638473690607
72,Chungcheongnam-do,1,19,578.4005999454595,257.74638473690607
73,Chungcheongnam-do,1,24,578.4005999454595,257.74638473690607
74,Chungcheongnam-do,1,21,578.4005999454595,257.74638473690607
75,Chungcheongnam-do,3,30,578.4005999454595,257.74638473690607
76,Chungcheongnam-do,4,25,578.4005999454595,257.74638473690607
77,Chungcheongnam-do,4,29,578.4005999454595,257.74638473690607
78,Chungcheongnam-do,6,32,578.4005999454595,257.74638473690607
79,Chungcheongnam-do,3,26,578.4005999454595,257.74638473690607
80,Chungcheongnam-do,2,50,578.4005999454595,257.74638473690607
81,Chungcheongnam-do,5,51,578.4005999454595,257.74638473690607
82,Chungcheongnam-do,3,28,578.4005999454595,257.74638473690607
83,Chungcheongnam-do,5,19,578.4005999454595,257.74638473690607
84,Chungcheongnam-do,1,16,578.4005999454595,257.74638473690607
85,Chungcheongnam-do,48,19,576.6077844311377,257.43796330052254
86,Chungcheongnam-do,3,25,578.4005999454595,257.74638473690607
87,Chungcheongnam-do,7,23,578.4005999454595,257.74638473690607
88,Chungcheongnam-do,1,27,578.4005999454595,257.74638473690607
89,Chungcheongnam-do,6,7,578.4005999454595,257.74638473690607
90,Chungcheongnam-do,6,24,578.4005999454595,257.74638473690607
91,Chungcheongnam-do,1,38,578.4005999454595,257.74638473690607
92,Chungcheongnam-do,6,19,578.4005999454595,257.74638473690607
93,Chungcheongnam-do,6,43,578.4005999454595,257.74638473690607
94,Chungcheongnam-do,1,24,578.4005999454595,257.74638473690607
95,Chungcheongnam-do,3,20,578.4005999454595,257.74638473690607
96,Chungcheongnam-do,3,12,578.4005999454595,257.74638473690607
97,Chungcheongnam-do,5,16,578.4005999454595,257.74638473690607
98,Chungcheongnam-do,5,35,578.4005999454595,257.74638473690607
99,Chungcheongnam-do,1,35,578.4005999454595,257.74638473690607
100,Chungcheongnam-do,1,13,578.4005999454595,257.74638473690607
101,Chungcheongnam-do,5,25,578.4005999454595,257.74638473690607
102,Chungcheongnam-do,1,29,578.4005999454595,257.74638473690607
103,Chungcheongnam-do,1,69,578.4005999454595,257.74638473690607
104,Chungcheongnam-do,1,30,578.4005999454595,257.74638473690607
105,Chungcheongnam-do,3,32,578.4005999454595,257.74638473690607
106,Chungcheongnam-do,2,13,578.4005999454595,257.74638473690607
107,Chungcheongnam-do,4,49,578.4005999454595,257.74638473690607
108,Chungcheongnam-do,5,18,578.4005999454595,257.74638473690607
109,Chungcheongnam-do,2,17,578.4005999454595,257.74638473690607
110,Chungcheongnam-do,4,18,578.4005999454595,257.74638473690607
111,Chungcheongnam-do,4,12,578.4005999454595,257.74638473690607
112,Chungcheongnam-do,7,22,578.4005999454595,257.74638473690607
113,Chungcheongnam-do,3,11,578.0608126533951,257.5949690120306
114,Chungcheongnam-do,1,23,578.0608126533951,257.5949690120306
115,Chungcheongnam-do,5,23,578.0608126533951,257.5949690120306
116,Chungcheongnam-do,1,15,578.0608126533951,257.5949690120306
117,Chungcheongnam-do,7,10,578.0608126533951,257.5949690120306
118,Chungcheongnam-do,0,14,578.0608126533951,257.5949690120306
119,Chungcheongnam-do,8,19,578.0608126533951,257.5949690120306
120,Chungcheongnam-do,1,14,578.0608126533951,257.5949690120306
121,Chungcheongnam-do,2,16,578.0608126533951,257.5949690120306
122,Chungcheongnam-do,4,16,578.0608126533951,257.5949690120306
