,date,province,confirmed,released,deceased,population,infection_rate,recovery_rate,dead_rate,total_medical,sizeofarea
2318,2020-06-04,Ulsan,52,46,1,1142190.0,0.004552657613882104,88.46153846153845,1.9230769230769231,628.6130985140342,1075.5084745762713
2319,2020-06-04,Sejong,47,47,0,345341.0,0.013609736463379674,100.0,0.0,659.0477099236641,742.668817204301
2320,2020-06-04,Gyeonggi-do,894,665,19,13338020.0,0.006702644020626749,74.3847874720358,2.1252796420581657,638.9470658682635,1309.1892422457793
2321,2020-06-04,Gangwon-do,57,51,3,1539282.0,0.0037030251766732806,89.47368421052632,5.263157894736842,602.6945967110415,91.47147611124316
2322,2020-06-04,Chungcheongbuk-do,60,49,0,1597593.0,0.003755649905827079,81.66666666666667,0.0,572.2037965616046,215.65780237580992
2323,2020-06-04,Chungcheongnam-do,146,142,0,2119771.0,0.006887536436718872,97.26027397260275,0.0,576.965432770822,257.5976424838984
2324,2020-06-04,Jeollabuk-do,21,19,0,1808802.0,0.0011609894283619766,90.47619047619048,0.0,476.878987608753,224.16681125294338
2325,2020-06-04,Jeollanam-do,20,17,0,1854618.0,0.0010783891885013518,85.0,0.0,544.6748898678414,150.2444912508101
2326,2020-06-04,Gyeongsangbuk-do,1380,1301,54,2646493.0,0.052144479505519196,94.27536231884058,3.91304347826087,589.0258179390163,139.0476015341775
2327,2020-06-04,Gyeongsangnam-do,123,121,0,3349454.0,0.0036722403114059785,98.3739837398374,0.0,617.9804428044281,317.78500948766606
2328,2020-06-04,Jeju-do,15,13,0,671316.0,0.0022344171746241713,86.66666666666667,0.0,535.3397129186603,362.8735135135135
2329,2020-06-05,Seoul,924,645,4,9720846.0,0.009505345522395889,69.8051948051948,0.4329004329004329,422.18657980456027,16067.514049586776
2330,2020-06-05,Busan,147,138,3,3404423.0,0.004317912315831493,93.87755102040816,2.0408163265306123,498.67042624871834,4421.328571428571
2331,2020-06-05,Daegu,6886,6634,188,2427954.0,0.28361328097649297,96.34040081324426,2.7301771710717397,473.46996879875195,2746.554298642534
2332,2020-06-05,Incheon,262,107,0,2947217.0,0.00888974242480279,40.839694656488554,0.0,649.7391975308642,2772.546566321731
2333,2020-06-05,Gwangju,32,30,0,1455048.0,0.002199240162523848,93.75,0.0,504.6992715920916,2904.2874251497005
2334,2020-06-05,Daejeon,46,42,1,1471040.0,0.0031270393735044594,91.30434782608695,2.1739130434782608,485.0115397296406,2724.1481481481483
2335,2020-06-05,Ulsan,52,46,1,1142190.0,0.004552657613882104,88.46153846153845,1.9230769230769231,628.6130985140342,1075.5084745762713
2336,2020-06-05,Sejong,47,47,0,345341.0,0.013609736463379674,100.0,0.0,659.0477099236641,742.668817204301
2337,2020-06-05,Gyeonggi-do,907,665,19,13338020.0,0.0068001097614188615,73.31863285556781,2.0948180815876514,638.9470658682635,1309.1892422457793
2338,2020-06-05,Gangwon-do,57,51,3,1539282.0,0.0037030251766732806,89.47368421052632,5.263157894736842,602.6945967110415,91.47147611124316
2339,2020-06-05,Chungcheongbuk-do,60,49,0,1597593.0,0.003755649905827079,81.66666666666667,0.0,572.2037965616046,215.65780237580992
2340,2020-06-05,Chungcheongnam-do,147,143,0,2119771.0,0.006934711343819686,97.27891156462584,0.0,576.965432770822,257.5976424838984
2341,2020-06-05,Jeollabuk-do,21,19,0,1808802.0,0.0011609894283619766,90.47619047619048,0.0,476.878987608753,224.16681125294338
2342,2020-06-05,Jeollanam-do,20,17,0,1854618.0,0.0010783891885013518,85.0,0.0,544.6748898678414,150.2444912508101
2343,2020-06-05,Gyeongsangbuk-do,1382,1302,54,2646493.0,0.05222005121494747,94.21128798842258,3.907380607814761,589.0258179390163,139.0476015341775
2344,2020-06-05,Gyeongsangnam-do,123,121,0,3349454.0,0.0036722403114059785,98.3739837398374,0.0,617.9804428044281,317.78500948766606
